caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
rdm.py,123,make_rdm12_spin1,~,0,<built-in method builtins.getattr>,15,1.9562e-05,1.9562e-05,2.062112322,2.062112322
rdm.py,91,make_rdm1_spin1,~,0,<built-in method builtins.getattr>,60,0.00011960700000000001,0.00011960700000000001,2.062112322,2.062112322
selected_ci.py,758,contract_2e,~,0,<built-in method builtins.getattr>,90,3.7311e-05,3.7311e-05,2.062112322,2.062112322
selected_ci.py,931,_as_SCIvector_if_not,~,0,<built-in method builtins.getattr>,45,4.9212e-05,4.9212e-05,2.062112322,2.062112322
selected_ci.py,893,_unpack,~,0,<built-in method builtins.getattr>,165,6.4619e-05,6.4619e-05,2.062112322,2.062112322
selected_ci.py,914,__array_finalize__,~,0,<built-in method builtins.getattr>,405,0.000411044,0.000411044,2.062112322,2.062112322
lapack.py,1025,_compute_lwork,~,0,<built-in method builtins.getattr>,180,0.000422702,0.000422702,2.062112322,2.062112322
_linalg.py,123,_makearray,~,0,<built-in method builtins.getattr>,15,1.3043e-05,1.3043e-05,2.062112322,2.062112322
fromnumeric.py,51,_wrapfunc,~,0,<built-in method builtins.getattr>,1558128,0.508027738,0.508027738,2.062112322,2.062112322
<frozen importlib._bootstrap>,1390,_handle_fromlist,~,0,<built-in method builtins.hasattr>,4,4.257e-06,4.257e-06,8.3262e-05,8.3262e-05
traitlets.py,740,_cross_validate,~,0,<built-in method builtins.hasattr>,1,2.9970000000000003e-06,2.9970000000000003e-06,8.3262e-05,8.3262e-05
_function_base_impl.py,249,flip,~,0,<built-in method builtins.hasattr>,4,2.3770000000000003e-06,2.3770000000000003e-06,8.3262e-05,8.3262e-05
misc.py,677,check_sanity,~,0,<built-in method builtins.hasattr>,60,7.279400000000001e-05,7.279400000000001e-05,8.3262e-05,8.3262e-05
traitlets.py,731,_validate,~,0,<built-in method builtins.hasattr>,1,8.370000000000001e-07,8.370000000000001e-07,8.3262e-05,8.3262e-05
typing.py,1285,__hash__,~,0,<built-in method builtins.hash>,4,2.1450000000000002e-06,2.1450000000000002e-06,2.1450000000000002e-06,2.1450000000000002e-06
<frozen importlib._bootstrap>,1390,_handle_fromlist,~,0,<built-in method builtins.isinstance>,4,9.42e-07,9.42e-07,0.680468115,0.681202152
socket.py,709,send_multipart,~,0,<built-in method builtins.isinstance>,7,1.193e-06,1.193e-06,0.680468115,0.681202152
session.py,687,serialize,~,0,<built-in method builtins.isinstance>,2,1.133e-06,1.133e-06,0.680468115,0.681202152
session.py,751,send,~,0,<built-in method builtins.isinstance>,3,2.342e-06,2.342e-06,0.680468115,0.681202152
jsonutil.py,108,json_default,~,0,<built-in method builtins.isinstance>,2,2.82e-07,2.82e-07,0.680468115,0.681202152
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.isinstance>,30,1.1936e-05,1.1936e-05,0.680468115,0.681202152
_decomp.py,284,eigh,~,0,<built-in method builtins.isinstance>,90,3.3109000000000004e-05,3.3109000000000004e-05,0.680468115,0.681202152
direct_spin1.py,178,absorb_h1e,~,0,<built-in method builtins.isinstance>,15,4.643e-06,4.643e-06,0.680468115,0.681202152
selected_ci.py,313,kernel_fixed_space,~,0,<built-in method builtins.isinstance>,15,4.6706e-05,4.6706e-05,0.680468115,0.681202152
bit_array.py,67,__init__,~,0,<built-in method builtins.isinstance>,1,2.63e-07,2.63e-07,0.680468115,0.681202152
addons.py,822,_unpack_nelec,~,0,<built-in method builtins.isinstance>,255,0.00032925200000000004,0.00032925200000000004,0.680468115,0.681202152
addons.py,206,_stand_sym_code,~,0,<built-in method builtins.isinstance>,240,0.00017140000000000002,0.00017140000000000002,0.680468115,0.681202152
direct_spin1.py,920,eig,~,0,<built-in method builtins.isinstance>,15,2.0212000000000002e-05,2.0212000000000002e-05,0.680468115,0.681202152
_sparse.py,10,issparse,~,0,<built-in method builtins.isinstance>,90,0.0004987020000000001,0.001198765,0.680468115,0.681202152
logger.py,219,new_logger,~,0,<built-in method builtins.isinstance>,30,2.7665e-05,2.7665e-05,0.680468115,0.681202152
