filename,lineno,func,prim_calls,total_calls,tottime,cumtime
multiarray.py,1243,unpackbits,1,1,1.9e-07,1.9e-07
numeric.py,456,_count_nonzero_dispatcher,790516,790516,0.177488323,0.177488323
numeric.py,1433,_moveaxis_dispatcher,2,2,4.1700000000000004e-07,4.1700000000000004e-07
_ufunc_config.py,400,__init__,15,15,1.0139e-05,1.0139e-05
_twodim_base_impl.py,371,tri,109,109,0.002128553,0.00801611
_twodim_base_impl.py,159,eye,15,15,0.00058066,0.000675061
fromnumeric.py,89,_wrapreduction_any_all,94,94,0.00055237,0.00160515
getlimits.py,712,max,218,218,0.00038583000000000004,0.00038583000000000004
fromnumeric.py,51,_wrapfunc,1573707,1573707,1.732426143,8.440954555000001
_internal.py,278,data_as,3887,3887,0.006174160000000001,0.030738651000000002
_twodim_base_impl.py,888,tril_indices,109,109,0.001992432,0.024985355
__init__.py,517,cast,3887,3887,0.024501896000000002,0.024564491
iostream.py,584,_rotate_buffer,1,1,1.5197e-05,1.643e-05
iostream.py,165,_check_mp_mode,1,1,2.057e-06,4.8660000000000005e-06
iostream.py,162,_is_master_process,1,1,1.5410000000000002e-06,2.809e-06
iostream.py,219,<lambda>,1,1,6.241e-06,0.001219178
iostream.py,214,send_multipart,1,1,4.12e-06,7.579300000000001e-05
iostream.py,466,_schedule_in_thread,1,1,5.363e-06,7.1692e-05
iostream.py,577,_flush_buffer,1,1,6.916e-06,2.5292e-05
iostream.py,198,closed,1,1,4.79e-07,4.79e-07
iostream.py,202,schedule,1,1,1.1008e-05,7.1673e-05
iostream.py,221,_really_send,1,1,1.5699e-05,0.001212937
zmqstream.py,533,sending,2,2,3.8110000000000004e-06,2.2333e-05
zmqstream.py,547,_run_callback,2,2,3.1310000000000003e-05,0.0013824430000000001
zmqstream.py,654,_rebuild_io_state,2,2,1.5347e-05,0.000134375
iostream.py,107,_handle_event,2,2,1.5464e-05,0.0013080580000000002
zmqstream.py,677,_update_handler,2,2,6.339000000000001e-06,7.787e-05
jsonutil.py,39,_ensure_tzinfo,2,2,1.54e-06,1.54e-06
zmqstream.py,529,receiving,4,4,2.093e-06,2.093e-06
~,0,<method 'disable' of '_lsprof.Profiler' objects>,1,1,0.00013633000000000002,0.00013633000000000002
session.py,672,sign,1,1,1.4310000000000001e-06,2.6650000000000003e-06
session.py,273,msg_header,1,1,4.932e-06,5.2479000000000004e-05
ioloop.py,541,time,2,2,3.8280000000000004e-06,5.363e-06
ioloop.py,596,call_later,1,1,5.387e-06,6.632900000000001e-05
session.py,97,json_packer,4,4,9.711e-06,0.000120941
queue.py,209,_qsize,2,2,2.465e-06,3.452e-06
ioloop.py,742,_run_callback,1,1,6.583e-06,0.000438846
session.py,599,msg_id,1,1,9.243000000000001e-06,1.4806e-05
session.py,280,extract_header,1,1,5.468e-06,5.6390000000000006e-06
session.py,201,utcnow,1,1,8.375e-06,4.4466000000000004e-05
session.py,643,msg_header,1,1,5.8580000000000005e-06,7.609600000000001e-05
attrsettr.py,66,_get_attr_opt,4,4,8.211000000000001e-05,9.618800000000001e-05
queue.py,97,empty,2,2,1.3409000000000002e-05,1.8522e-05
session.py,646,msg,1,1,9.418e-06,9.489200000000001e-05
events.py,111,__init__,1,1,4.666e-06,1.5918000000000002e-05
threading.py,601,is_set,1,1,3.5700000000000003e-07,3.5700000000000003e-07
selectors.py,275,_key_from_fd,2,2,3.1380000000000003e-06,3.1380000000000003e-06
base_events.py,543,_check_closed,1,1,2.66e-07,2.66e-07
traitlets.py,2373,validate,1,1,3.0020000000000002e-06,3.961e-06
base_events.py,1907,_add_callback,2,2,7.216e-06,9.147e-06
