filename,lineno,func,prim_calls,total_calls,tottime,cumtime,molecule
bit_array.py,149,num_bits,1,1,2.4270000000000002e-06,2.4270000000000002e-06,H2
addons.py,822,_unpack_nelec,102,102,0.000109364,0.000156348,H2
selected_ci.py,769,get_init_guess,6,6,4.2092e-05,0.0007139420000000001,H2
selected_ci.py,903,_all_linkstr_index,6,6,2.0493000000000002e-05,0.000354046,H2
addons.py,206,_stand_sym_code,96,96,0.00018127600000000002,0.000205806,H2
direct_spin1.py,920,eig,6,6,0.000169891,0.040144358000000005,H2
selected_ci.py,568,make_rdm2,6,6,0.000257314,0.0024089330000000003,H2
selected_ci.py,346,hop,36,36,0.00030907300000000004,0.023194533,H2
selected_ci.py,812,make_rdm1s,12,12,4.8316e-05,0.0018844450000000002,H2
selected_ci.py,830,make_rdm2,6,6,2.5839e-05,0.00244703,H2
selected_ci.py,758,contract_2e,36,36,0.000153062,0.022404628000000003,H2
logger.py,142,debug,42,42,1.5367e-05,1.5367e-05,H2
logger.py,146,debug1,12,12,5.234e-06,5.234e-06,H2
logger.py,182,timer_debug1,36,36,7.7019e-05,0.00021439400000000002,H2
logger.py,200,__init__,6,6,2.9866000000000002e-05,7.5488e-05,H2
_sparse.py,10,issparse,36,36,3.9125e-05,0.000212465,H2
configuration_recovery.py,122,<genexpr>,744765,744765,0.343554548,0.343554548,H2
__init__.py,96,_xla_gc_callback,4,4,2.4378000000000003e-05,2.4378000000000003e-05,H2
direct_spin1.py,926,<lambda>,36,36,0.00014861100000000002,0.023343144000000003,H2
selected_ci.py,926,_as_SCIvector,84,84,0.000133127,0.00037145,H2
selected_ci.py,931,_as_SCIvector_if_not,18,18,1.1018e-05,1.5799000000000002e-05,H2
selected_ci.py,893,_unpack,66,66,0.00016318000000000002,0.00030529600000000004,H2
selected_ci.py,484,make_rdm1s,12,12,6.6042e-05,0.0018079810000000002,H2
selected_ci.py,189,cre_des_linkstr_tril,12,12,1.2042000000000001e-05,0.000319417,H2
selected_ci.py,230,des_des_linkstr_tril,12,12,1.0235000000000001e-05,1.4136000000000002e-05,H2
selected_ci.py,350,<lambda>,30,30,0.000233111,0.000233111,H2
selected_ci.py,739,__init__,6,6,1.6469e-05,3.9854e-05,H2
selected_ci.py,818,make_rdm1,6,6,3.1782e-05,0.0008255560000000001,H2
selected_ci.py,914,__array_finalize__,234,234,0.00019358500000000002,0.000262688,H2
_misc.py,181,_datacopied,36,36,9.88e-06,9.88e-06,H2
lapack.py,1055,<genexpr>,108,108,0.00010823000000000001,0.00032099200000000003,H2
logger.py,219,new_logger,6,6,4.2234e-05,0.00012395100000000002,H2
blas.py,395,getter,36,36,0.00011124600000000001,0.00020310300000000002,H2
lapack.py,1025,_compute_lwork,36,36,0.000463708,0.0008639330000000001,H2
misc.py,677,check_sanity,6,6,9.043e-05,0.00028747,H2
