caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
numpy_helper.py,478,take_2d,_internal.py,261,__init__,144,0.000181952,0.000181952,0.0010667,0.001078938
addons.py,190,_convert,_internal.py,261,__init__,96,0.00011386100000000001,0.00011386100000000001,0.0010667,0.001078938
rdm.py,123,make_rdm12_spin1,_internal.py,261,__init__,36,2.7604000000000002e-05,2.7604000000000002e-05,0.0010667,0.001078938
selected_ci.py,175,cre_des_linkstr,_internal.py,261,__init__,96,8.4857e-05,8.4857e-05,0.0010667,0.001078938
rdm.py,91,make_rdm1_spin1,_internal.py,261,__init__,120,9.2637e-05,9.2637e-05,0.0010667,0.001078938
selected_ci.py,48,contract_2e,_internal.py,261,__init__,180,0.000510583,0.000522821,0.0010667,0.001078938
selected_ci.py,289,make_hdiag,_internal.py,261,__init__,36,4.5997e-05,4.5997e-05,0.0010667,0.001078938
_linalg.py,493,inv,_linalg.py,148,_commonType,6,3.3269e-05,5.4031000000000005e-05,3.3269e-05,5.4031000000000005e-05
configuration_recovery.py,59,recover_configurations,_function_base_impl.py,249,flip,1,5.7510000000000005e-06,8.377000000000001e-06,5.7510000000000005e-06,8.377000000000001e-06
_stride_tricks_impl.py,376,broadcast_to,_stride_tricks_impl.py,349,_broadcast_to,72,0.000939376,0.001333105,0.000939376,0.001333105
counts.py,45,bit_array_to_arrays,_linalg.py,2566,norm,1,1.7760000000000003e-05,3.321e-05,1.7760000000000003e-05,3.321e-05
~,0,<built-in method time.sleep>,_arraysetops_impl.py,144,unique,30,0.000104227,0.00076553,0.31290971300000003,2.492709907
fermion.py,149,diagonalize_fermionic_hamiltonian,_arraysetops_impl.py,144,unique,2,9.579000000000001e-06,5.5591000000000004e-05,0.31290971300000003,2.492709907
configuration_recovery.py,181,_bipartite_bitstring_correcting,_arraysetops_impl.py,144,unique,108156,0.312734818,2.48061768,0.31290971300000003,2.492709907
